Plot Number,Plant Number,Genotype,Stem Diameter,Tap Root dimeter,Overall,Nodule Size,Nodule Density,Number Adv/Up Roots,Lateral Root Denisty Adv/Up,Angle 1 Adv/Up,Angle 2 Adv/Up,Angle 3 Adv/Up,Angle 4 Adv/Up,Angle 5 Adv/Up,Number Lower Roots,Lateral Root Denisty Lower,Angle 1 Lower,Angle 2 Lower,Angle 3 Lower,Angle 4 Lower,Angle 5 Lower
2005,3,12,9,5,2,2,1,0,0,na,na,na,na,na,12,7,0,20,25,40,40
2005,4,12,10,8,2,3,1,0,0,na,na,na,na,na,20,7,0,20,20,5,30
2005,5,12,5,3,2,3,1,0,0,na,na,na,na,na,15,7,0,0,10,20,20
2006,1,18,9,6,3,2,2,0,na,na,na,na,na,na,28,7,20,20,20,15,15
2006,2,18,11,12,3,2,3,4,7,0,5,5,5,na,15,7,50,50,40,45,50
2006,3,18,13,5,2,2,1,1,5,30,na,na,na,na,12,7,0,55,60,55,50
2006,4,18,7,4,2,3,2,1,11,30,na,na,na,na,19,11,20,25,50,30,35
2006,5,18,6,3,1,1,1,2,3,5,0,na,na,na,13,8,40,20,20,25,30
2007,1,8,9,8,2,3,2,3,6,0,5,5,na,na,21,8,20,25,30,40,50
2007,2,8,8,6,3,3,6,0,0,5,na,na,na,na,22,7,0,5,5,10,10
2007,3,8,8,7,2,3,2,0,0,na,na,na,na,na,25,8,10,10,40,35,20
2007,4,8,10,9,3,3,3,0,0,na,na,na,na,na,28,10,0,5,15,15,20
2007,5,8,9,7,3,3,2,0,0,na,na,na,na,na,15,8,0,10,15,20,40
2008,1,22,4,3,1,1,1,2,5,0,0,na,na,na,19,6,5,5,10,10,20
2008,2,22,7,4,3,2,1,4,8,0,0,5,5,na,17,6,5,5,10,10,55
2008,3,22,4,4,1,1,1,0,na,na,na,na,na,na,25,8,5,5,5,15,15
2008,4,22,4,3,1,1,1,1,3,0,na,na,na,na,22,12,40,10,45,40,35
2008,5,22,6,4,3,2,2,4,5,15,15,10,10,na,20,11,30,35,40,45,40
2009,1,1,12,4,1,2,2,1,3,0,na,na,na,na,12,5,40,40,45,40,55
2009,2,1,14,9,1,2,2,3,5,30,30,25,na,na,16,6,50,60,65,40,40
2009,3,1,12,6,1,1,1,1,5,0,na,na,na,na,11,6,0,0,5,5,5
2009,4,1,11,5,2,1,1,0,na,na,na,na,na,na,19,7,30,40,10,20,15
2009,5,1,11,6,1,2,2,0,na,na,na,na,na,na,17,6,5,10,15,30,5
2010,1,13,10,9,3,3,3,1,6,0,na,na,na,na,22,8,20,25,30,30,20
2010,2,13,10,9,2,3,1,1,5,10,na,na,na,na,12,6,10,15,20,25,25
2010,3,13,9,8,2,4,1,0,0,na,na,na,na,na,12,5,20,25,20,25,35
2010,4,13,7,5,2,3,2,0,0,na,na,na,na,na,13,7,5,30,35,40,45
2010,5,13,9,7,3,3,3,0,0,na,na,na,na,na,15,5,10,15,20,25,35
2011,1,2,12,6,2,1,1,1,6,40,na,na,na,na,14,6,35,20,40,45,50
2011,2,2,11,6,1,2,2,0,na,na,na,na,na,na,12,12,40,40,30,30,30
2011,3,2,11,6,1,1,1,1,6,40,na,na,na,na,15,9,30,30,20,20,30
2011,4,2,23,11,1,1,1,1,5,20,na,na,na,na,11,7,0,45,0,10,40
2011,5,2,18,6,2,1,1,1,5,0,na,na,na,na,7,3,40,35,40,40,55
2012,1,19,7,6,3,1,1,0,0,na,na,na,na,na,22,8,10,15,20,25,30
2012,2,19,8,6,3,3,3,0,0,na,na,na,na,na,22,8,0,0,10,15,20
2012,3,19,10,9,3,3,3,0,0,na,na,na,na,na,26,12,0,5,10,15,20
2012,4,19,9,8,3,3,2,0,0,na,na,na,na,na,32,8,5,10,15,25,30
2012,5,19,5,4,2,2,1,0,0,na,na,na,na,na,15,10,25,25,30,40,45
2013,1,7,12,6,4,3,3,0,na,na,na,na,na,na,25,14,10,20,25,25,25
2013,2,7,6,4,2,2,2,0,na,na,na,na,na,na,14,8,10,15,15,15,25
2013,3,7,12,4,4,3,4,0,na,na,na,na,na,na,28,22,30,35,35,20,20
2013,4,7,11,6,4,3,3,0,na,na,na,na,na,na,24,7,10,10,15,15,15
2013,5,7,6,3,2,1,1,0,na,na,na,na,na,na,19,6,20,20,15,15,15
2014,1,24,9,5,3,2,1,1,5,20,na,na,na,na,9,8,5,10,15,20,30
2014,2,24,5,4,1,1,1,0,0,na,na,na,na,na,11,5,5,20,25,40,45
2014,3,24,9,5,1,na,0,0,0,na,na,na,na,na,9,5,15,30,35,40,45
2014,4,24,5,3,1,na,0,0,0,na,na,na,na,na,13,6,20,25,25,30,35
2014,5,24,10,8,3,3,2,1,6,20,na,na,na,na,16,4,10,15,20,15,20
2015,1,4,9,6,3,3,3,1,8,0,na,na,na,na,26,8,25,30,35,40,40
2015,2,4,15,7,3,2,3,1,6,10,na,na,na,na,29,8,20,25,30,35,0
2015,3,4,7,4,2,2,1,1,7,5,na,na,na,na,20,8,15,15,40,60,30
2015,4,4,9,6,2,2,2,3,8,30,30,20,na,na,15,8,10,20,20,25,20
2015,5,4,13,8,1,2,1,0,na,na,na,na,na,na,15,6,50,50,0,20,20
2016,1,14,15,4,1,1,1,1,11,30,na,na,na,na,18,11,20,10,10,10,10
2016,2,14,6,4,1,2,1,1,11,20,na,na,na,na,9,7,35,0,40,30,20
2016,3,14,6,4,1,2,4,1,10,10,na,na,na,na,15,6,40,40,40,50,50
2016,4,14,5,4,1,1,1,3,6,5,5,5,na,na,15,7,10,20,30,30,20
2016,5,14,11,6,2,2,3,0,na,na,na,na,na,na,22,7,40,55,40,40,30
2017,1,23,11,4,4,3,3,2,9,0,0,na,na,na,36,11,0,0,5,5,5
2017,2,23,6,4,3,2,1,0,na,na,na,na,na,na,33,9,20,20,25,35,30
2017,3,23,6,4,3,2,1,1,7,5,na,na,na,na,17,7,20,20,25,20,20
2017,4,23,6,4,3,2,3,0,na,na,na,na,na,na,34,10,5,5,15,15,10
2017,5,23,9,4,4,1,1,0,na,na,na,na,na,na,30,9,40,40,40,40,30
2018,1,11,11,6,4,3,3,0,na,na,na,na,na,na,31,9,20,20,25,50,30
2018,2,11,6,4,3,3,3,0,na,na,na,na,na,na,30,14,10,10,15,15,10
2018,3,11,10,6,3,1,1,7,15,na,na,na,na,na,19,8,40,40,30,35,40
2018,4,11,15,6,3,3,1,0,na,na,na,na,na,na,24,8,20,20,20,10,10
2018,5,11,4,3,2,2,1,0,na,na,na,na,na,na,20,10,0,10,10,0,10
